Donated,Gender,Race,Currently Using Award,Education,Years in Current job,CY Helped in Career,Recommend CY,Significantly positive impact,Helped Develop Relationship,Increased Civic Engagement,Top Experience Score,Will Support,Support CY Score
1,1,9,0,2,1,3,2,4,1,1,0.121621622,,4
1,1,9,1,3,1,2,1,3,1,0,1.432432432,0,0
1,1,9,1,4,2,1,2,4,1,1,0.905405405,1,3
1,1,9,1,1,1,3,2,4,1,1,3.256756757,1,2
1,0,1,1,2,2,4,2,4,1,1,1.810810811,1,
1,1,9,1,1,1,4,2,4,1,1,0.72972973,1,4
0,1,9,0,1,1,3,2,4,1,1,1.527027027,1,2
1,1,9,1,2,1,4,2,4,1,1,1.851351351,1,4
1,1,9,1,1,1,3,0,3,1,1,1.459459459,0,0
0,0,9,1,2,1,4,2,3,1,1,1.297297297,1,3
1,0,9,1,2,2,4,1,4,1,1,2.716216216,0,0
1,0,9,0,,1,2,1,3,1,0,3.405405405,,0
1,0,9,1,1,1,3,2,3,,0,1.108108108,1,2
1,0,9,1,1,1,4,2,4,1,1,0.797297297,1,
0,0,9,0,1,1,4,1,4,1,0,2.243243243,1,3
1,1,7,1,2,1,4,2,4,1,1,1.391891892,1,4
0,0,9,1,2,1,4,0,3,1,1,2.864864865,1,1
1,0,9,1,1,1,3,2,3,1,0,1.013513514,1,2
1,1,9,1,2,1,2,1,3,1,1,2.716216216,,0
0,0,9,1,2,3,4,2,4,1,1,2.202702703,1,1
1,1,9,1,1,2,3,2,3,1,1,4.621621622,0,0
0,0,9,1,2,1,2,0,2,1,0,2.824324324,1,3
0,0,9,0,1,1,4,2,4,1,1,1.351351351,1,4
1,0,9,0,1,1,4,1,3,1,0,0.581081081,1,3
0,1,9,,2,1,1,1,2,1,0,1.932432432,1,3
0,0,1,1,1,1,3,0,4,1,1,1.067567568,1,1
1,0,7,1,2,1,2,2,4,1,1,1.189189189,1,2
1,0,9,1,,1,4,1,3,1,1,1.72972973,1,1
0,1,3,1,,1,2,1,3,1,0,2.797297297,1,2
0,1,1,0,,1,4,1,4,1,1,3.608108108,1,4
0,0,1,1,2,1,3,2,4,1,1,1.378378378,1,2
1,0,1,1,2,1,3,1,3,1,1,1.189189189,0,0
1,,1,1,,1,3,2,4,1,1,3.405405405,1,3
0,1,9,1,3,1,1,0,3,1,0,1.391891892,0,0
0,1,1,0,2,1,3,0,3,1,1,0.851351351,1,4
0,0,9,0,3,1,3,1,4,1,1,2.27027027,1,3
1,0,1,1,2,1,4,1,3,1,1,4.621621622,1,2
0,0,3,0,1,1,4,1,4,1,1,0.567567568,1,1
